,bodyId,type,pre,post,size
97208,5901196411,,26,16,11612844
31494,1384505707,vDeltaK,54,342,154508438
46747,1764868059,,79,273,59036533
38339,1568453517,,0,22,1262298
19037,956384643,LC10,87,113,199217614
78573,2429595740,,47,41,33580229
86035,2651790995,,2,9,3703019
33398,1440567426,,52,45,35563608
72596,2311590675,,38,30,18084225
41829,1667247553,ORN_DM4,136,183,180607432
33567,1443294899,,4,6,10614110
4293,393556774,,67,77,80290969
69554,2249538551,,0,85,36092687
41050,1654063719,,18,74,25779777
32370,1411210321,,12,17,65906261
46597,1761561802,AVLP411,724,3050,1732599118
32098,1407269278,LC13,182,167,297348344
74562,2344722755,,6,25,6618347
97396,5901202979,,45,98,23009757
39753,1619971938,,0,0,89583242
49686,1822767569,,44,59,180958512
46991,1777858194,,39,31,24177285
62558,2086843291,,6,11,7794202
97188,5901195842,,20,25,19873328
96674,5813090861,KCab-m,223,617,296521773
75215,2367185110,,14,6,15330111
12445,699652692,ATL041,446,869,1499594885
14406,768694006,,12,23,8724030
15249,816452768,,8,31,14924637
63987,2120031881,,3,2,37670902
79245,2434719776,,46,46,36916785
87524,5812979323,,128,384,84971309
10279,608076538,,6,0,6114112
35943,1503995623,,0,23,6071764
49652,1822188673,,2,0,734035
67476,2211323435,,41,29,16701814
57901,1981775783,,4,16,3477652
10926,637121971,LHAV4a2,912,1790,1079612348
13721,755173211,,11,38,26125901
43490,1700600598,ORN_DL2v,99,112,130067367
48507,1807191501,LLPC3,94,162,153320249
27317,1257759884,,6,118,18039551
10034,602502825,vDeltaM,22,171,123582351
26191,1227263212,hDeltaK,282,926,732223530
72948,2314508337,,4,114,23032782
42087,1670420219,,4,8,4231666
88984,5812992277,PS282,158,549,274228183
928,270766755,,37,124,21352582
93700,5813034771,,34,18,39785421
6062,480257919,LHAV3b8_a,150,258,336544852
54603,1916264974,,30,40,58970830
54954,1920379589,,4,65,8155304
47979,1790779429,,24,38,19223769
73801,2339034013,,107,487,250366741
83204,2524845097,,0,0,62529216
80284,2461329248,,21,6,58245971
90055,5813000824,ORN_VA1d,41,42,32537164
12298,696829800,LHPV6h1_a,209,617,378523603
49941,1827516518,ORN_DC2,149,216,167805526
33449,1441283637,,232,529,436386736
63307,2098753855,,3,8,2726127
77302,2401966616,,20,8,15537954
1938,302156046,,39,125,23171812
61230,2058549277,,29,24,27426048
38757,1590819949,,249,53,180321896
89294,5812994846,,37,40,24791853
86789,2713524041,,3,15,6758164
51143,1851061177,VA1d_adPN,1217,3057,1991739271
66913,2189022388,,158,17,149152095
56823,1965107993,,52,38,39803607
35882,1503318143,,64,33,49810443
50246,1840268794,,27,21,29027222
278,206654819,,0,0,73590857
58875,2004309874,,26,80,45988852
18880,951597516,,198,194,220729628
51198,1851847766,,12,7,5685344
70555,2275496094,,8,11,8231203
74862,2348241936,,114,183,127515566
13451,735733975,AVLP297,469,964,718792219
96788,5813098080,LHAV4a1_b,452,568,678019185
84373,2559291130,,1,17,11562873
85966,2648380734,,1,15,2694429
32607,1417556867,,133,122,141999686
28346,1287360108,FB2K,173,1166,381361054
41967,1669699436,ORN_DM3,64,106,77268428
15440,821224190,,2,0,2268029
46786,1765727039,ORN_DA1,72,65,79507380
14522,786000969,PFNp_c,94,513,264584805
46769,1765226319,,9,47,8549419
4050,391016873,,193,416,277742466
31968,1405814166,,17,37,16736432
56493,1951422983,,2,8,2395178
14644,788461417,,0,0,211077764
59297,2011705635,,23,154,36705319
57626,1978961145,,4,11,4120889
71077,2280421702,,12,11,7097739
95723,5813066039,,5,13,6050646
75747,2371955010,,20,52,30287050
80030,2458596372,,0,2,50479772
63978,2119971399,,37,27,22258156
63618,2104810619,,8,32,8844283
34983,1479091702,,5,1,4838918
1761,301132894,,9,20,6447123
94170,5813040746,,3,24,9780409
51436,1856630237,,4,4,3610357
26789,1250610333,,54,74,26331743
12200,694445969,SLP383,293,366,483804492
11446,663665774,,8,61,123917340
40630,1635893408,ORN_DM3,76,118,66989546
49834,1825923328,,10,51,13881135
56917,1966131249,,13,6,8682414
80042,2458924525,,0,5,53142651
38430,1570922717,AVLP005,286,587,414278549
36216,1510134588,,22,22,17186722
16754,879852709,,0,1,140616827
75031,2351150584,,0,0,151271717
7713,542293528,LHAV4g7_b,150,278,320090070
48152,1793502277,,60,68,73360858
11838,673073015,SMP409,210,944,499692199
77507,2403192366,,113,124,107830451
75185,2366839150,,1,165,420556314
38531,1573551885,LAL120,832,900,1108817545
83638,2532348108,,0,0,91560752
48076,1792189792,,0,0,160540272
18142,921667198,LAL078,186,626,413502417
1879,301818911,,37,101,20456976
81487,2489472625,,0,16,2822305
48233,1794552016,,3,39,10245625
94256,5813041681,vDeltaH,111,666,255388962
57708,1979975312,,9,10,11180723
67746,2214743070,,8,11,8440792
40513,1631865599,,9,39,32850107
27784,1267164975,KCg-m,234,793,251292043
38324,1568116383,,37,35,26990741
63873,2118253400,,37,148,57674291
55191,1932039073,,64,79,47922160
81849,2493085488,,30,20,9712900
45459,1746783680,,24,40,42819429
16846,881527237,vDeltaJ,62,435,173382333
89918,5812999832,,26,81,39310666
80958,2466139648,,7,5,5064072
10075,604031105,LHAV4a5,133,383,243736051
66744,2187109746,,19,26,14967977
17190,887385891,,8,9,3256849
1956,302483905,,27,69,12688533
80801,2465081225,,5,7,6931107
58229,1995952670,,15,134,132131491
64113,2122009408,,2,13,4254977
15862,831429898,,105,291,114737801
1414,297912117,SMP203,700,1572,1451822259
91363,5813008412,,89,7,120298189
12293,696617663,SMP461,49,276,456685732
13287,732212021,,7,4,4992665
41027,1653732221,,55,66,25954917
14701,789851418,,62,75,478922932
94257,5813041684,FS1B,105,645,259459481
83854,2536816351,,17,4,6977483
94369,5813044992,vDeltaF,130,832,303492055
49049,1813318126,,12,12,3496340
96117,5813075760,,35,24,24337640
69555,2249546301,,6,12,4532294
49332,1816719543,,20,14,8644176
74659,2345560628,,5,0,5338915
36337,1511832342,,4,27,9928451
2937,356909006,SMP450,68,823,283017241
76974,2398957777,,45,31,27678558
34868,1475006808,,118,53,129238935
76124,2374691288,,12,43,15860277
79853,2439295592,,101,62,218924959
36198,1509560728,WED060,484,967,982922697
63796,2115839696,,0,5,54918704
75832,2372658188,,6,2,2897241
62199,2072834280,,3,10,1609548
36280,1511141429,,0,20,11706634
32405,1411655369,LC26,115,155,150503533
27104,1254340079,,4,14,4515959
87585,5812979616,,77,179,60815554
29620,1322353841,M_vPNml77,168,234,318244528
29537,1320847463,,14,5,11020246
4232,392864890,,37,35,30356960
49516,1819326555,M_vPNml89,116,34,173319855
47070,1778549475,,56,68,31393872
1165,295473400,SLP405_a,107,402,492939853
8710,549040457,,1,52,9849821
3891,389450432,,9,8,10071692
84649,2564821192,,4,2,1151109
51621,1859016985,,11,8,5010829
50730,1845379694,,3,22,6392914
67794,2215114257,,4,24,3708121
55053,1921600938,ORN_VA1d,41,51,24140423
41428,1658480001,,8,65,13337330
10308,608715651,SMP579,376,657,494647081
68959,2243580034,,0,31,3150857
16694,877659673,KCab-m,211,538,291983227
34327,1467685479,PS229,0,113,295248471
87993,5812981970,KCab-c,149,402,130244803
66057,2166534253,,7,10,3835779
39645,1605627519,,1,11,3134331
83702,2533470867,,0,10,1046784
82153,2495434495,,2,0,1887870
61199,2058204405,,47,30,30645881
54974,1920603934,ORN_VA6,28,25,16016163
134,204613289,,0,17,9178925
49742,1824049560,ORN_VL2a,50,54,51904150
71457,2284653057,,14,36,28491413
81986,2494112415,,12,4,6416020
71848,2303944501,,59,545,358739912
7129,514367640,SLP222,289,871,705602509
30170,1346494440,,35,10,35565270
56688,1963095762,,37,40,27921603
18644,946619892,,223,59,320175497
40203,1626560096,LPLC4,311,373,408051086
53858,1905736077,,26,3,18327871
73457,2334983550,,3,13,6759257
46855,1775513203,LPC1,68,46,100709510
77642,2404354730,,5,23,6267012
52735,1881876069,,10,11,29446062
94166,5813040723,,6,27,26131079
6318,482856872,,0,33,16639443
51683,1859543555,,19,21,8986701
37416,1541701145,VES057,510,568,950127863
17594,910922019,,2,21,8765212
68399,2222599602,,11,19,79343884
56300,1949609807,ORN_VM7v,54,50,39177624
59061,2008355471,,10,10,2674080
79793,2438302580,,27,2,21580238
7215,515989744,,7,20,16736829
23971,1167645523,ER4d,527,1875,773720688
1862,301810598,,30,83,13319809
83155,2524422805,,4,2,2675562
66659,2185818269,,65,152,174622097
26661,1236276689,,0,18,218490
53315,1889931525,ORN_DA2,50,50,19397298
44964,1730449179,,0,27,6394158
79722,2437504420,,11,30,8695710
14344,767615925,SMP057,318,1297,976699927
60619,2040871009,AVLP548_f,517,1188,886852127
27592,1262105601,ER3a_a,232,666,304896212
40188,1626434572,,10,0,2520404
42208,1671447627,,4,43,5989103
24588,1189899778,,50,38,53132328
40518,1631887215,,3,2,1702501
34824,1473984610,,4,1,2574300
79445,2435906823,,3,64,18311046
43409,1699076307,,0,0,125001553
67896,2216176215,,55,29,52752719
57238,1970561124,,46,41,35130138
83601,2531399139,,23,18,16219098
35077,1480735545,,29,74,17263111
29331,1317134866,,48,67,60250242
65418,2154425895,,2,26,29107663
23781,1164658637,,2,0,1486199
54599,1916080175,AVLP375,321,1110,645804035
2327,328955898,,70,79,222771799
81261,2469173230,,2,0,1117996
81300,2470377923,,2,20,11274292
70413,2274079692,,13,7,6062892
61176,2057863366,,8,45,24312372
32429,1412255315,,7,3,4514571
84731,2566206642,,5,24,7952223
22328,1108166986,TuBu02,82,175,239818604
70186,2259630938,,39,171,43265982
97587,5901211896,WED092,497,168,528006990
47309,1780699257,LLPC2c,118,73,116233259
81936,2493776565,,11,4,4263968
81807,2492736324,,39,29,17045411
14049,761938645,M_vPNml67,133,363,239863991
32325,1410450859,PFNp_a,41,202,128311617
91876,5813013207,LHAV1b4,118,221,382580068
51987,1872358062,,101,103,71329735
97,203939705,,0,23,10013834
15478,821729315,CL171,56,121,176681121
94072,5813039723,,33,296,126407960
80014,2458259830,,0,0,23436372
42143,1670765538,,2,4,4229297
44316,1719833369,,72,74,76711479
7890,543934429,SMP531,358,310,393757590
92695,5813022512,CL288,814,981,1424622605
77046,2399670145,,0,18,2059866
13924,759888294,LHPV4j1_a,189,344,270797874
45681,1748864872,,2,3,743915
40872,1651538159,,0,0,37487268
5447,451296290,LHAV3b9_b,65,191,276009050
90626,5813004459,,16,2,7793295
89340,5812995195,ORN_DC4,195,215,177399537
35700,1500680443,MC62,31,16,67844210
31894,1404783075,LC21,146,275,223557050
82619,2502406235,,6,20,13456033
4193,392445880,PI1_b,8,767,4269099572
92572,5813021572,CL086_c,313,688,848260532
67272,2196657995,,0,0,48975958
85428,2613620047,,29,8,20302732
53241,1889020241,,12,19,6287248
9555,578020852,,7,78,50652313
2323,328939480,SMP559,243,759,834115200
27901,1281622703,FS3,43,173,133915213
76303,2376052064,,7,36,27567062
32446,1412600835,,9,31,12606203
50687,1845034675,,4,16,3684447
61357,2060280700,,40,40,26620919
89938,5812999911,,63,71,56227570
88796,5812990912,,14,9,390490278
90236,5813002152,,5,19,24391308
81088,2467196287,,5,5,4978230
45645,1748506916,,45,41,14574674
26083,1225114259,LC43,135,106,281447637
82913,2522073807,,0,0,41124380
72229,2308538900,,5,5,4172283
89144,5812993610,LLPC2c,105,58,114952742
67489,2211362043,,28,34,29144662
74347,2343043777,,12,1,14596911
81706,2492053672,,0,14,1300171
93662,5813034531,lLN2R_a,1191,3529,1361158188
24049,1168845584,AVLP219,103,812,638645510
7701,541957126,LHPV4d5,129,215,315857915
69195,2246459416,,11,26,12327284
13614,737672106,,10,6,9144000
87273,2777221511,,0,0,136869784
13009,726417412,,45,249,48200287
70075,2256690332,,16,7,20453107
90992,5813006560,,13,31,11881594
23200,1139762569,,3,4,1822085
27381,1258777937,,8,10,5363298
3313,361105329,,0,26,6448072
31120,1376791669,,3,15,5175381
22492,1126310841,PFNp_b,56,211,89825484
23299,1141346472,KCg-m,272,721,241807475
45981,1751761973,,157,34,224095159
32489,1413589766,vDeltaL,37,393,153277906
2797,333177968,,38,109,26484864
78308,2412214570,,0,0,5146347
45699,1748899225,,27,22,14901859
71845,2303775827,,4,10,2056653
91690,5813010733,,22,151,140742171
82972,2522700570,,15,29,13641469
11181,642824051,,51,146,82071081
10406,610381395,,83,242,195323116
55325,1933835260,,0,104,221895424
82865,2521529938,,19,9,18178822
56107,1946967503,,44,169,42402285
18797,948812702,LHAV4d3,119,348,436456186
8580,548366999,,2,3,1846749
42243,1671788582,,4,7,1294038
10120,604769716,SLP298,67,209,233631238
71092,2280560329,,9,41,8075198
84051,2553441188,,0,10,249054
65426,2154482010,,1,40,39015304
3733,364912073,,10,16,8426296
21333,1070526748,,12,15,8206980
60150,2033108947,,68,23,384846782
91203,5813007709,,101,144,119274847
59206,2010341556,,2,7,2132201
84642,2564777611,,4,4,3157869
53996,1907130673,,34,18,15691927
80542,2463376284,,4,2,1881896
5104,425112506,KCab-s,266,628,308889289
15528,822859611,,51,384,595173640
30834,1373061594,,56,63,42769362
27469,1260538467,LC33a,254,694,513553092
76753,2395507983,,0,0,14619318
2360,329246255,SLP421,91,857,315077258
5711,454555125,,4,4,2740639
96801,5813098507,,10,6,13995870
68144,2218852874,,41,27,16121639
61399,2060798098,,48,29,35377041
18473,943316814,,1,40,8972251
91872,5813013194,,153,95,670249434
37464,1543211638,,2,1,2376356
58311,1996570284,,2,89,242752457
17249,889359316,,44,46,49843404
7950,544270272,,4,0,4946607
24375,1172839742,,176,445,107267494
62366,2075074743,ORN_VA1v,70,81,39624580
1574,298927224,FB7F,191,745,566557379
19809,1006189571,,140,111,162965103
80877,2465504358,,3,10,3347788
38039,1564038637,,56,55,32649313
68724,2229622742,,8,19,4617491
54661,1916994908,,2,8,1297962
37452,1542878640,,0,0,49816122
97301,5901199443,,7,3,33519786
35154,1481142778,,3,6,1542189
51174,1851756810,ORN_VC5,12,18,49420736
74851,2348094778,,2,5,4653423
84640,2564510086,,4,27,11671732
79215,2434422274,,2,7,2012414
62242,2073408400,ORN_VC4,47,66,27206866
49873,1826588387,,23,102,16487175
58508,1999199132,,46,54,44129566
85573,2619417513,,0,10,772681
70747,2277555442,,40,76,31425782
84599,2563486688,,4,1,4556633
26677,1236613456,,27,308,29415579
86878,2718294161,,2,0,818186
61103,2056313014,,8,86,31778768
2037,326137566,LHPD3b1_a,181,557,382447656
77090,2400083913,,43,25,38289841
30045,1345074431,,19,10,12789725
59260,2011023513,ORN_VM5v,74,85,56344011
54988,1920728976,,3,9,2264450
69523,2249219218,,3,12,3684310
28720,1294362092,LC9,172,316,378505606
36621,1529579343,,7,31,10134621
17775,914332180,,3,2,1856443
37517,1546242545,,215,268,165602363
50253,1840295198,,37,19,23564791
82041,2494592119,,2,16,3512403
11193,642862339,,32,61,25272568
63626,2105448977,ORN_VC2,60,84,67576427
13005,726207450,VM4_lvPN,400,1123,946501221
24912,1195681615,,10,55,15897657
25043,1198413040,,53,52,31616763
91423,5813008692,,2,4,24586692
69118,2245634599,SAD076,821,2251,2083363792
21550,1074277581,,8,2,5012745
80972,2466174071,,14,13,5955365
47603,1784483959,,68,72,84397962
41236,1656124028,,42,29,24690223
87831,5812981106,KCab-s,227,626,317455168
45992,1751943542,,32,21,30151553
32621,1418009677,,56,145,33950443
52697,1881522961,,6,6,3341302
65556,2156105192,,29,23,19279841
6299,482637370,SLP090,102,224,361195767
51307,1853914227,,0,0,36417521
70753,2277696865,,2,10,3684842
35073,1480731560,,37,80,23246708
45188,1734350882,ORN_DA1,63,69,33747973
22002,1101470303,vDeltaJ,83,654,234808808
17520,908728886,FC1E,112,484,273871069
38058,1564355831,,4,10,2407553
3182,359913281,SLP160,191,401,514842192
11409,662763626,KCg-m,275,893,275895014
38816,1591519043,PS290,128,31,257339312
47120,1778980154,LLPC3,43,37,51344349
55373,1934396927,,3,6,10159785
26337,1230190149,LC6,218,449,394571666
8676,548730615,,0,15,4019062
74235,2342330859,,7,4,3669208
66834,2188132805,,6,7,4427782
46838,1774468637,,0,0,63366867
14009,761187278,,1,962,605015466
97068,5813133917,,89,516,239752201
40402,1629504991,,5,6,5822569
67742,2214734372,,2,3,2513824
13852,758239379,LHPV6k1,180,486,416674410
52324,1875742034,,34,25,31771798
91634,5813010200,LHPV5d1_a,166,311,362877705
65013,2149275426,,58,31,42843108
60536,2040008036,ORN_VC5,72,77,41122172
84022,2553217110,,0,36,8375521
7911,544038013,SLP081,140,301,438344129
9790,580792413,,2,9,3517620
1728,301124062,,47,109,29358986
29578,1321870524,,16,15,20025226
55727,1939171752,,10,25,31044334
94526,5813046676,,81,139,115189122
71443,2284466784,,75,29,74193250
38884,1592330315,,22,11,17071396
18848,950591319,SMP268,62,226,272784173
41228,1656105780,,31,23,13630641
69662,2250582701,,10,9,7587183
32062,1407121962,,12,33,110097531
42221,1671616397,ORN_DL4,30,51,39918137
93177,5813025982,OCG01,71,55,6261553086
92343,5813019676,CRE099,28,268,294877427
36352,1512111559,,43,98,21391615
91886,5813013342,pC1d,510,348,561421756
68646,2228246513,ORN_VM4,29,26,14650817
72537,2311119881,,4,3,2467211
78938,2432707294,,26,13,9836454
55510,1936101881,,14,8,7065702
51776,1869969563,,59,58,51551183
44168,1718011349,PS147,236,441,565790022
33080,1436188322,LC11,262,244,346557457
1349,297239396,SMP486_e,2,364,463271191
32092,1407248169,PS269,2,140,246244377
43901,1714937661,,318,153,302644948
50983,1848592019,LC31,146,247,258609905
6835,509156089,,14,59,119566912
14377,768224139,FB4O,723,1631,1032262836
19308,977429475,,0,0,20306166
114,204276278,,28,123,62418549
38296,1567728102,PFNp_a,42,108,102928213
35087,1480740025,,60,125,31506404
97218,5901196747,,32,25,26892579
10713,631594443,,0,0,94836379
93757,5813035230,,2,85,58043841
27942,1282274833,,250,205,399064122
34085,1451440550,,47,93,24892528
17954,916633472,vDeltaE,107,685,279400826
46342,1756027316,,28,2,14689256
80106,2459947817,,5,10,8156843
63119,2095368963,,2,3,1711136
80706,2464480631,,0,11,4298658
20101,1010998659,AVLP167_b,420,1350,964284422
12000,675261072,,17,34,15154240
95111,5813055800,LHPD5d1,764,4472,1475054488
95102,5813055759,SMP467,145,421,541593790
59028,2007380254,,14,5,33542993
34790,1473341216,,29,9,32514280
56167,1947995076,,0,34,13535100
76823,2397191648,,0,0,46737904
9659,579536041,SMP556,413,1180,1010256535
60352,2035687041,,1,12,2724278
58253,1996181449,,71,72,50990337
84689,2565515913,,5,8,5202109
53032,1886646316,,7,15,4211960
16210,853251627,,344,497,565525888
9481,576359762,,0,12,1153774
9138,551773113,,0,13,8448235
57096,1968514690,,34,31,17742357
61841,2067408438,,12,20,27874838
95091,5813055684,,2,24,10834592
1137,295133743,SLP414,94,762,294333124
64738,2134122882,ORN_VC3m,20,22,13966837
19164,974502819,,452,526,2396980386
1572,298750211,,10,7,19046701
27996,1283004464,,45,38,32896195
40353,1628810150,,350,75,290206502
26979,1253308299,,17,7,11978232
88034,5812982243,,80,39,70633061
41659,1662594170,,0,0,123257158
57568,1977993814,,19,59,14849204
71892,2304770148,,8,21,8402255
22330,1108230557,,93,249,160598583
34170,1454165118,,0,4,108526322
63126,2095387114,,88,54,70652154
96786,5813097926,SMP265,47,260,304587692
21436,1072370303,,210,156,265714572
8745,549071475,,39,83,40001247
35621,1499912973,,55,47,30283094
6334,483021600,LHAV6f3_b,100,155,302587807
21822,1097472156,,0,0,13788497
21599,1075058622,,185,160,239817082
16123,851580653,,18,12,138271271
3289,360807297,,100,62,72542591
13800,757107265,,10,57,23740865
49065,1813403762,LPLC2,257,406,394299804
69116,2245596477,,8,39,13076633
96522,5813082987,,66,64,44021009
94131,5813040227,,38,56,49620267
44282,1719414100,,15,66,80667314
28567,1291099014,ER1_b,211,796,484445372
45744,1749275570,LPLC1,305,1392,599909392
41570,1660538951,,8,3,7687313
97003,5813131972,,8,55,55412680
32594,1416766624,AVLP124,307,863,840912903
32320,1410408294,,89,67,95510189
89616,5812997222,LLPC2c,110,55,121051026
11758,671604934,mAL3A,67,67,179141724
59118,2009274855,TRN_VP1m,325,511,242478920
64688,2132775709,,3,17,27584810
59407,2013142990,,38,159,21299880
69314,2247495554,,4,9,2797206
49142,1814345087,,5,9,5744623
20902,1044918145,FS1A,100,1155,281089917
11895,673892990,,46,93,33655280
64019,2120676192,,35,71,30843614
69613,2250095403,,21,3,70963438
15501,822251767,,4,2,2011575
78361,2415789630,,4,8,42813908
62885,2091963329,,4,8,5693535
45711,1749020274,LC22,136,235,311637622
20940,1046282421,,90,35,74249207
3047,358538491,LHAV3c2,106,289,308029820
81617,2491366690,,5,33,6072611
50309,1840969117,,53,35,43835925
35594,1499756471,PS140,339,1583,726928908
66270,2180694819,,49,353,62437345
85575,2619732987,,0,12,1883247
12074,676612729,PAM04_a,225,836,277333760
39182,1596073218,,2,303,76379445
75234,2367525317,,46,46,31565981
17277,890191898,SLP229,158,476,485097497
23152,1138807914,MC61,38,46,56464125
74375,2343311975,,0,48,69394983
44432,1721244592,,14,5,7331936
10538,612422902,MBON25,181,395,491944011
87970,5812981840,SIP056,114,371,296344172
31694,1389375284,,61,124,34019929
85343,2596857015,,6,0,27608921
96991,5813130064,lLN1_a,2133,6372,2256235730
45074,1732494760,,10,55,10234370
67722,2214445136,,18,1,11392952
60788,2042805007,,3,2,2231005
57533,1977126766,,183,454,201746127
26472,1232603375,LC9,211,445,448843398
51780,1870086335,,1,39,166305802
6812,508599276,KCg-m,260,839,349820691
23433,1158195525,,11,10,21020230
60856,2043763628,,3,3,1387057
83889,2538197761,,3,0,11038563
1413,297908801,5-HTPMPD01,1249,1089,1603372967
85858,2628276273,,9,0,5256555
70957,2279532424,,42,107,46689148
18629,946339109,PS167,15,1998,1470166889
85426,2613611818,,13,4,21716227
32342,1410555956,,17,19,14614815
56744,1964106321,,34,50,22409030
11177,642728308,VES006,82,5449,2048898932
38307,1567776288,,2,2,10844857
68629,2227692988,,0,0,58978672
5324,450155664,,5,0,5733456
47380,1781583462,,14,47,24915026
86278,2675340955,,0,32,7044489
15292,817433166,,0,0,149667821
7200,515654253,,4,5,5458182
19978,1008801380,,9,6,4628445
14536,786441021,,0,14,19813160
96309,5813078134,DNp15,21,2310,1302907611
3241,360431234,,2,6,6237996
54533,1914589768,,3,3,2019585
95200,5813056534,,129,56,123451197
35197,1481484033,,4,5,1867154
96590,5813087622,,270,1325,271451245
79028,2433363974,,12,15,9903872
3016,358259842,FB8G,363,1295,719388102
40238,1627047521,,7,46,12792582
76802,2396708135,,24,2,15729547
51982,1872348487,,19,15,17003864
23805,1165327084,,12,18,8594350
13828,757530901,,115,154,162669319
15139,799397066,,11,69,8104436
61448,2061605887,,9,5,6742805
20041,1009708586,FB6K,409,1251,1057438942
96720,5813093836,PLP071,527,652,953085677
2104,327225145,FS4A,56,497,172629969
15323,817985849,KCab-s,218,547,268976941
93266,5813026371,PI1_a,5,823,5642511042
40756,1639588904,ORN_DL4,27,39,34018002
60965,2044786251,ORN_VA7l,48,59,45687128
68239,2219867226,LC29,79,82,184436046
97141,5901194250,M_lvPNm37,185,251,364834515
49085,1813671912,,28,22,14416320
95131,5813055914,KCab-s,235,650,322349102
84715,2565870233,,0,15,3530729
30983,1375232661,,107,40,114057265
32644,1418397988,,0,0,204872655
73429,2334314931,,5,2,10234205
48982,1812639723,,8,1,13161131
16803,880771722,hDeltaA,387,3883,850882689
36089,1506728427,,2,1,2291408
17339,891736948,,51,28,129364294
17240,889095789,,2,82,20158017
85073,2589984485,,3,0,3673034
22956,1135458373,AVLP488,438,1731,1577172170
81629,2491376519,,7,30,5413545
43132,1693284921,,86,77,59361694
48220,1794206723,,20,113,26178965
4162,392178077,,3,5,3155612
67091,2192907250,,8,5,9776063
97854,7112614743,,69,51,42497912
67883,2216124343,,6,22,7251518
4624,419880359,LHAV2i4,205,154,343230800
9375,574287006,,47,44,41026928
40618,1635642433,,0,0,48141310
618,265660453,,96,285,204964257
65409,2154379074,,15,17,9376131
16935,883301712,,0,0,40044998
51262,1853224706,,2,14,2087266
45107,1733138228,,22,26,32242048
16528,861125727,,12,31,9201564
46398,1757361545,,143,135,82208822
8751,549158040,SLP451,140,415,476032627
53593,1902420328,LPC2,14,12,26707361
49261,1815773781,LC12,138,200,153091636
7545,520069347,,6,8,6073336
85339,2596568213,,5,4,6036612
26586,1234873868,,168,327,86587051
71342,2282973139,,5,3,5010470
62746,2089938490,,29,50,21059175
26381,1230903191,AVLP237_b,151,351,441154674
54335,1911529694,,4,4,1880813
270,206322582,,4,8,9929086
69204,2246481393,,2,12,3443837
53994,1907122816,,62,59,31172176
30231,1347130617,,42,22,26031636
29200,1315779239,,31,30,30711042
75016,2350667315,,35,214,58795826
54753,1918673998,,0,19,3596829
57258,1970857820,,56,10,26989546
67685,2214065363,,0,48,7342457
8959,550417568,,11,20,11562265
77321,2402018926,,41,94,35383921
9937,582823095,,18,12,16461033
91389,5813008516,,0,44,21163444
52048,1873034902,,47,95,52476169
43568,1701110354,,68,165,54014446
25405,1203484926,,149,412,87349945
92417,5813020535,,109,746,490588811
81854,2493098799,,0,26,4703092
11753,671510847,,6,2,4838053
36619,1529579071,,1,31,9923628
55340,1934033608,,3,2,2579831
95479,5813060908,LLPC3,37,35,42215270
59793,2028153129,,4,9,2934375
27966,1282663185,,81,102,53049186
65120,2150660898,,78,55,39202870
55362,1934180719,,1,130,287223094
923,270443227,,36,106,25899471
47334,1780941170,,88,75,60321085
28550,1290836353,,0,34,11697589
81613,2491366658,,1,83,10041950
11791,672283773,AVLP432,1111,4264,2269933038
75374,2368950613,,35,18,15177513
97787,5901227512,,462,152,424583672
29478,1319923967,LC16,171,261,207886802
19473,981547981,LHAD1i2_b,178,339,386233281
4669,420450308,,9,17,14007797
45637,1748304380,LLPC2a,68,62,75662694
55490,1935773398,,21,19,11664468
50718,1845371613,,6,5,3184322
89515,5812996772,,75,309,65209171
17642,911599971,,0,23,7468811
6231,481881817,,2,27,20222438
88582,5812989041,WEDPN13,205,235,410700190
15969,848662441,KCab-c,170,511,245266002
96913,5813111993,,15,68,17037781
53127,1887652066,,10,28,6656059
66712,2186625871,,83,332,324723305
47626,1784955164,,20,9,19133335
73754,2338584312,,12,33,15495935
28272,1285750483,LT69,506,667,1067257583
29498,1320169573,,3,3,1552648
74576,2344865280,,6,3,4180909
91615,5813010009,SLP043,156,353,353354520
24903,1195356115,,0,0,34105543
15035,797558130,CRE099,66,471,419800156
54468,1913570955,,7,4,2754386
34668,1471597236,,8,13,9258246
79513,2436421257,,2,1,2764191
2182,327873821,SLP417,79,187,199830717
23724,1163630889,,13,12,9766249
91949,5813014082,,0,0,137776939
1060,292610594,,0,0,42180752
25228,1200765789,,151,302,105283327
43216,1695662119,,23,14,67766021
43126,1693275298,,13,4,7806003
37731,1560932909,,13,7,8921330
40941,1652833242,,186,32,189242438
2447,330074097,,3,4,3998843
65952,2164151669,,28,60,88736474
31920,1405226806,PVLP138,115,1659,1331952172
7984,544598442,,17,21,20144830
66349,2181834313,,0,34,12830290
6322,482865965,,2,2,2252131
65579,2156455362,,4,11,4644084
56304,1949670469,,13,14,10862337
30223,1347121122,,19,14,11067230
32807,1420397469,,58,117,26659572
39487,1601228600,AVLP410,253,344,500982448
14168,764955302,,14,12,8444538
67032,2191042646,,18,81,47752970
7876,543925345,,32,19,20174535
48082,1792475432,,117,390,92416973
78121,2408162070,,3,14,1661428
93543,5813033723,,38,395,110163215
65392,2154062998,,65,49,41791611
85005,2587994971,,7,5,5431607
88270,5812983703,MC62,91,79,107907686
29683,1324563972,,115,281,69267052
87189,2771168885,,0,21,2521711
69480,2248860430,,3,6,3486650
35839,1502562355,,38,89,85449580
33599,1443977017,,7,19,7715052
42695,1687149169,,55,62,41859911
21856,1098953561,aMe25,698,646,1217467156
