,bodyId,type,pre,post,size
30062,1345285966,,1192,4456,1815737751
19711,1003340144,,0,1,99336524
44190,1718194038,,36,35,26575365
41223,1656093410,,48,67,31946628
33401,1440635558,,11,13,101419694
39888,1622471963,WED068,479,399,860870501
60862,2043823824,,3,15,2731456
42669,1686799941,,19,8,8950855
8005,544606961,,12,15,10303273
11619,668424285,,3,41,15261175
64229,2123554894,,0,17,9000132
57739,1980368083,,5,17,7939682
25743,1220873910,PS119,234,416,477864715
93910,5813038661,OCG07,5,330,452560643
16187,852763857,CL163,248,913,442052614
29389,1318473405,,3,20,24823948
9273,571912527,,0,0,106093625
21475,1072913471,,0,16,2403224
40940,1652832941,,656,932,740910077
67110,2193326984,,107,8,65415124
65967,2164604302,,0,0,28548580
70743,2277534002,,3,4,4810775
4184,392312942,,46,58,97725519
38308,1567776307,,4,4,4687355
14438,769048165,,11,19,11712933
41558,1660203801,,9,26,17542140
59392,2013051903,,0,17,4972318
3580,363202803,,9,23,6488627
7162,514859045,SMP220,120,583,487959623
8970,550439476,,30,39,31686318
68434,2223601123,,7,3,14297279
66372,2182334858,,3,424,866461678
18367,940791048,PS154,71,123,209348360
83063,2523455737,,3,5,1899068
63684,2106497975,ORN_VA7m,26,14,21164555
3737,364912144,,9,13,4928587
3711,364566832,,38,88,18314020
52094,1873625919,,92,47,144814547
45120,1733172689,,69,280,47005546
31402,1381898491,,7,1,5709046
30965,1375086233,,4,12,4001757
73792,2338956278,,30,22,12533494
47439,1782290978,,39,30,19494725
16730,879183243,vDeltaM,59,215,145348560
81331,2471400904,,2,3,1977591
50691,1845035121,,9,12,4395520
54019,1907445512,,0,12,2131054
64074,2121382771,,28,22,158916783
45152,1733841745,,1,17,7482314
17359,891931735,LC10,101,206,194401112
95807,5813067839,CL210_b,21,191,316874021
67211,2195298238,,0,0,117999876
61891,2068767172,,22,20,32012543
16584,861574580,AOTU001,135,710,513720169
65358,2153700982,,22,21,8889024
57413,1973276186,,7,25,8007900
585,264287177,,0,0,92880548
61123,2056831385,,2,2,1707598
81201,2468275694,,1,34,5042757
62037,2071034348,ORN_VC5,72,57,45716443
22383,1109474158,MC61,40,71,56873875
11562,667184255,CL133,689,1320,1221385160
87174,2770154218,,4,6,4869169
90661,5813004685,ORN_VL1,86,103,69960959
23253,1140862679,TuBu07,61,339,216538044
57688,1979690699,,9,9,5844883
16638,862278897,AOTU061,93,299,220594335
79595,2436886231,,19,12,25300815
22768,1132172898,FB4A,99,712,249982640
97187,5901195773,,0,28,16243062
79760,2437979030,,3,2,1129642
35240,1481802049,,48,100,24697152
94596,5813047221,KCa'b'-m,224,631,437993906
69164,2246153627,,5,7,3803004
7333,517695697,,4,9,4563023
95441,5813060342,,59,82,60039831
88926,5812991885,,35,179,142923360
93270,5813026428,PI1_a,9,684,4090200980
92486,5813021090,,503,313,2288742404
87119,2748228312,,0,0,96603911
63426,2101167555,,17,22,44722410
26941,1252958102,,232,174,312519997
34002,1450758352,,23,87,14732818
49611,1821490356,,0,25,4531503
28086,1284036109,,11,16,12525215
65659,2157780538,,42,36,33328788
27058,1253700547,LC9,50,127,158530949
8518,547707483,,10,7,7126811
11461,664006886,,11,62,39864378
25108,1199427845,ER3w_b,302,833,466674064
18454,942639321,,53,28,38687954
46263,1754715778,LC12,233,262,281114956
12481,700748814,,95,66,115422452
78827,2431728569,,5,7,4999996
8991,550737387,,3,5,3905394
9454,575664331,IB048,610,741,1058645265
9679,579764928,,4,10,3606459
72211,2308386730,,2,64,51477710
47682,1785680206,,166,81,143991427
14529,786099953,,2,6,4088273
37028,1534409572,,0,0,31130876
79006,2433165740,,7,21,11052110
73585,2336827224,,105,397,156930801
86358,2679761386,,0,14,784307
78256,2410302281,,23,40,17913625
25231,1200770728,,175,341,110492899
53660,1903059688,,50,36,33484847
97471,5901205993,,9,0,6613870
92753,5813022886,,149,406,87296093
63901,2118710680,,223,49,221683416
57377,1972550841,,8,7,5410690
7743,542747457,SLP324,124,294,364675033
9368,574040939,LHAD1b2_c,172,502,525837160
25863,1222308512,,39,23,27644218
74204,2342029749,,50,147,200892684
29359,1317475570,,32,20,31357454
97658,5901215213,,0,0,164729738
81806,2492735585,,1,17,2177289
13260,731857938,,12,51,34362502
19655,987117151,LAL010,1206,5629,2060716216
55447,1935389995,,0,16,1651479
34577,1470237413,,7,6,3416649
68658,2228262973,,12,14,4309953
33494,1441939978,,4,0,2646835
91442,5813008810,,27,7,35798760
59122,2009369775,,3,9,2243951
45255,1735054607,ORN_DA1,89,109,88592468
92043,5813015356,,3,23,103736929
89102,5812993313,,84,53,66535004
226,205645277,,0,15,7441249
58256,1996190915,,41,38,28532738
31502,1384734912,AVLP395,295,719,460747578
31633,1388697430,,61,182,41438956
86057,2652499013,,0,12,6451005
37421,1541848299,,15,18,10658093
90645,5813004545,,3,4,2739712
75679,2371350795,,105,282,232087707
22693,1131231671,,10,6,3521856
6925,511608576,LHPD3a2_c,96,179,282742481
4727,420842977,,18,24,23123891
16153,852254000,,4,3,3756269
77420,2402661578,,18,19,14296673
8690,548937579,SMP265,45,260,391411597
85210,2593485659,,5,37,9678103
89886,5812999543,LC28b,141,197,247243275
92814,5813023342,,34,34,19331794
5562,452673242,LHAV7a3_a,113,255,292922763
62896,2092023200,,63,102,54135429
25439,1203783013,KCg-d,176,486,304311704
63388,2100514356,,0,2,296344943
87644,5812979995,SMP433,112,318,356673285
92812,5813023318,,0,0,244329697
76956,2398750478,,38,3,42330735
14625,787882939,,125,57,180033227
83343,2526550519,,4,0,3125553
70671,2276838522,,6,5,3348801
62490,2076473113,,6,37,5588330
77185,2401038945,,11,55,11490619
34646,1471337627,PLP114,192,329,350264333
16990,884632051,,17,104,41518020
4287,393543291,,30,38,88196908
82158,2495468148,,16,11,4926407
45068,1732490210,,10,32,6438934
53748,1904363747,,8,0,2617839
54999,1920927166,ORN_DC3,12,67,11258104
